date,open,high,low,close,volume,return,sma_5,sma_10,sma_20,sma_50,rsi_14,macd,macd_signal,bb_mid,bb_upper,bb_lower,atr_14,vwap,rel_strength_qqq,regime,vol_spike,extreme_return,trend_up,trend_down,in_play_150,in_play_120,in_play_200
2005-06-24,119.88,120.0078125,118.84,118.98,59190900,-0.007341898882028963,120.65599999999999,120.857,120.52350000000001,118.31479999999999,39.80769230769227,0.5848444005809625,0.8677561321338021,120.52350000000001,121.95388125208476,119.09311874791527,1.0648437500000014,117.68724000225568,3.2182850960238034,bull,0,0,0,1,0,1,0
2005-06-27,118.97,119.41,118.75,119.15,51164200,0.0014288115649689903,120.20599999999999,120.71400000000001,120.46849999999999,118.41480000000001,40.71969696969707,0.43355004419252907,0.7809149145455476,120.46849999999999,122.02241898454393,118.91458101545605,1.02341517857143,117.70998118406709,3.237771739130435,bull,0,0,0,1,0,0,0
2005-06-28,119.4,120.24,119.37,120.15,42617300,0.008392782207301774,119.94200000000001,120.643,120.502,118.52780000000001,51.98019801980205,0.38984591831335536,0.7027011152991092,120.502,121.99383885118148,119.01016114881851,1.0355580357142864,117.74117474782854,3.234185733512786,bull,0,0,0,0,0,0,0
2005-06-29,120.37,120.4,119.76,119.83,43059500,-0.0026633374947981903,119.59400000000001,120.51700000000001,120.46849999999999,118.61619999999999,44.40619621342508,0.3256350399941965,0.6272879002381266,120.46849999999999,121.99031712712821,118.94668287287178,0.9998437500000007,117.7678116187031,3.2327074565663105,bull,0,0,0,0,0,0,0
2005-06-30,120.22,120.32,118.95,119.18,62303700,-0.005424351164149188,119.458,120.29499999999999,120.3895,118.72380000000001,41.747572815534,0.2197645793168732,0.545783236053876,120.3895,122.00853772590217,118.77046227409782,1.022700892857142,117.79339620141856,3.240348015225666,bull,0,0,0,1,0,1,0
2005-07-01,119.45,119.8,119.21,119.53,49786600,0.0029367343514012934,119.56800000000001,120.112,120.3585,118.7942,41.46341463414635,0.16223342546064146,0.46907327393522913,120.3585,122.02003099975825,118.69696900024177,0.9762723214285701,117.81817856893689,3.254731109598366,bull,0,0,0,1,0,0,0
2005-07-05,119.43,120.65,119.19,120.49,51552100,0.00803145653810744,119.83599999999998,120.02099999999999,120.38100000000001,118.8926,47.29136163982427,0.19189154223469984,0.41363692759512327,120.38100000000001,122.03654761173958,118.72545238826045,1.0219866071428558,117.85708423934005,3.246833737537052,bull,0,0,1,0,0,0,0
2005-07-06,120.39,120.65,119.41,119.48,54070500,-0.008382438376628665,119.702,119.822,120.34850000000002,118.95559999999999,39.42181340341652,0.13237135973875525,0.35738381402384967,120.34850000000002,122.04968565464759,118.64731434535244,1.0384151785714286,117.88149788925881,3.2353100460330357,bull,0,0,0,1,0,0,0
2005-07-07,118.28,119.95,118.26,119.95,103268900,0.003933712755272767,119.726,119.66,120.35050000000001,119.05059999999999,40.669240669240615,0.12172311009393866,0.31025167323786745,120.35050000000001,122.04960781541985,118.65139218458017,1.1077008928571428,117.93926759783744,3.2366432811656773,bull,0,0,1,0,1,1,0
2005-07-08,119.97,121.32,119.72,121.32,64550900,0.011421425593997503,120.154,119.806,120.39250000000001,119.164,49.78021978021975,0.22128105569876766,0.2924575497300475,120.39250000000001,122.14575111540931,118.63924888459071,1.1212723214285703,117.99727341710177,3.2120730738681487,bull,0,0,1,0,0,1,0
2005-07-11,121.33,122.1,121.31,121.94,49772400,0.005110451697988738,120.636,120.102,120.4795,119.31880000000001,52.78925619834709,0.34621926315897156,0.30320989241583235,120.4795,122.36055765321976,118.59844234678025,1.1134151785714264,118.04875309702119,3.1988457502623295,bull,0,0,1,0,0,0,0
2005-07-12,121.89,122.63,121.64,122.26,52169900,0.00262424143021156,120.99000000000001,120.41299999999998,120.5635,119.44900000000001,53.977844914400855,0.4656868699935046,0.3357052879313668,120.5635,122.60652433197758,118.52047566802243,1.1398437499999972,118.10560931072024,3.1921671018276765,bull,0,0,1,0,0,0,0
2005-07-13,122.27,122.52,121.99,122.43,41297700,0.0013904793063961307,121.58,120.641,120.64200000000001,119.5696,54.30000000000009,0.5675411275420146,0.38207245585349636,120.64200000000001,122.8472053252057,118.43679467479431,1.1155580357142827,118.15133719965269,3.189111747851003,bull,0,0,1,0,0,0,0
2005-07-14,122.91,123.44,122.49,122.91,64776100,0.003920607694192446,122.172,120.949,120.73300000000002,119.6958,67.3888255416192,0.6791643649086012,0.44149083766451735,120.73300000000002,123.15554411724531,118.31045588275472,1.061272321428568,118.22897726824789,3.1702347175651275,bull,0,0,1,0,0,0,0
2005-07-15,122.79,123.04,122.36,122.84,56138000,-0.0005695224147750366,122.476,121.31500000000001,120.80500000000002,119.8026,74.246231155779,0.7532946578321713,0.5038516016980482,120.80500000000002,123.39108828766129,118.21891171233875,1.0264285714285688,118.29326713956962,3.1586526099254306,bull,0,0,1,0,0,0,0
2005-07-18,122.5,122.63,122.05,122.35,56857200,-0.003988928687723936,122.55799999999999,121.59699999999998,120.8545,119.9004,69.32367149758454,0.7637010735662386,0.5558214960716863,120.8545,123.52193697207635,118.18706302792366,1.0357142857142836,118.34975567864123,3.158805153228513,bull,0,0,0,0,0,0,0
2005-07-19,122.71,123.11,122.41,123.02,59514500,0.005476093175316832,122.71,121.85,120.9355,120.01899999999999,68.0503144654088,0.8165983955964435,0.6079768759766377,120.9355,123.76608093349272,118.10491906650729,1.0121428571428563,118.41684857118608,3.139867279224094,bull,0,0,1,0,0,0,0
